A[^1-2A-M]b	A1bgaoxiao`meishiA2bgaoxiao`meishiACbgaoxiao`meishiAMbgaoxiao`meishiAAb	False
A[^1-2A-M]b	A3bgaoxiao`meishiANbgaoxiao`meishiAZbgaoxiao`meishiAab	True
[521]*	555gaoxiao`meishi521125	True
[521]*	214gaoxiao`meishi25a	False
A[521]*b	Abgaoxiao`meishiA5bgaoxiao`meishiA521b	True
A[521]*b	A59b	False
A[^521]*b	A5bgaoxiao`meishiA2bgaoxiao`meishiA25bgaoxiao`meishiA521ABCbb	False
A[^521]*b	Abgaoxiao`meishiAbcdefbgaoxiao`meishiAABCbbgaoxiao`meishiAbcdefb	True
[521]+	2gaoxiao`meishi555gaoxiao`meishi521125	True
[521]+	214gaoxiao`meishi25a	False
A[521]+b	A5bgaoxiao`meishiA521b	True
A[521]+b	Abgaoxiao`meishiA59b	False
A[^521]+b	Abgaoxiao`meishiA5bgaoxiao`meishiA521bgaoxiao`meishiA521ABCbb	False
A[^521]+b	Abcdefbgaoxiao`meishiAABCbbgaoxiao`meishiAbcdefb	True
[521]?	5gaoxiao`meishi2gaoxiao`meishi1	True
[521]?	4gaoxiao`meishiabc	False
A[521]?b	Abgaoxiao`meishiA5bgaoxiao`meishiA2b	True
A[521]?b	A9bgaoxiao`meishiA521b	False
A[^521]?b	A5bgaoxiao`meishiA2bgaoxiao`meishiA52bgaoxiao`meishiA5212b	False
A[^521]?b	Abgaoxiao`meishiAbbgaoxiao`meishiAAbgaoxiao`meishiAxb	True
123|abc	123gaoxiao`meishiabc	True
123|abc	1gaoxiao`meishiagaoxiao`meishi1agaoxiao`meishibc	False
123|abc|XYZ	123gaoxiao`meishiabcgaoxiao`meishiXYZ	True
123|abc|XYZ	1aXgaoxiao`meishi112	False
.23|a.c|XY.	a23gaoxiao`meishia2cgaoxiao`meishiX23gaoxiao`meishiXY3	True
.23|a.c|XY.	a2Zgaoxiao`meishia23XY	False
(12|bc)	12gaoxiao`meishibc	True
(12|bc)	1bgaoxiao`meishi2gG	False
(12|bc|TP131|MM)	12gaoxiao`meishibcgaoxiao`meishiTP131gaoxiao`meishiMM	True
(12|bc|TP131|MM)	123gaoxiao`meishifrgaoxiao`meishinice	False
(12.|bc|TP.+31|.2M)	bcgaoxiao`meishiTP131gaoxiao`meishiTP1313131gaoxiao`meishi12M	True
(12.|bc|TP.+31|.2M)	TP31gaoxiao`meishi12bcgaoxiao`meishi2Mgaoxiao`meishifrgaoxiao`meishinice	False
Ln(12|bc|XYZ)to	Ln12togaoxiao`meishiLnbctogaoxiao`meishiLnXYZto	True
Ln(12|bc|XYZ)to	Ln123togaoxiao`meishiLnbcdtogaoxiao`meishiLnXYto	False
Ln(.1c|b.c|XY.)to	Lnbcctogaoxiao`meishiLnb1ctogaoxiao`meishiLn01ctogaoxiao`meishiLnXYcto	True
Ln(.1c|b.c|XY.)to	Ln1ctogaoxiao`meishiLnbctogaoxiao`meishiLn123togaoxiao`meishiLntogaoxiao`meishiLnXYto	False
(12|bc)*	12gaoxiao`meishibcgaoxiao`meishibc12bc	True
(12|bc)*	1bgaoxiao`meishi2gGgaoxiao`meishibc21bc	False
(12|bc|TP131|MM)*	12gaoxiao`meishibcgaoxiao`meishiTP131gaoxiao`meishiMM	True
(12|bc|TP131|MM)*	MM12bcTP131bc	True
(12|bc|TP131|MM)*	123gaoxiao`meishifrgaoxiao`meishiniceMMgaoxiao`meishi131TP	False
(12.|bc|TP.+31|.2M)*	123gaoxiao`meishibcgaoxiao`meishiTP131gaoxiao`meishiTP1313131gaoxiao`meishi123bcTP12131	True
(12.|bc|TP.+31|.2M)*	TP31gaoxiao`meishi12bcgaoxiao`meishiTP1312M	False
Ln(12|bc)*to	Lntogaoxiao`meishiLn12togaoxiao`meishiLn12bc12to	True
Ln(12|bc)*to	Ln123togaoxiao`meishiLnbcdto	False
Ln(.1c|b.c|XY.)*to	Lntogaoxiao`meishiLnbcctogaoxiao`meishiLnb1cb2cXYcbbcto	True
Ln(.1c|b.c|XY.)*to	Ln1ctogaoxiao`meishiLnbctogaoxiao`meishiLn123togaoxiao`meishiLnXYto	False
(12|bc)+	12gaoxiao`meishibcgaoxiao`meishibc12bc	True
(12|bc)+	1bgaoxiao`meishi2gGgaoxiao`meishibc21bc	False
(12|bc|TP131|MM)+	12gaoxiao`meishibcgaoxiao`meishiTP131gaoxiao`meishiMM	True
(12|bc|TP131|MM)+	MM12bcTP131bc	True
(12|bc|TP131|MM)+	123gaoxiao`meishifrgaoxiao`meishiniceMMgaoxiao`meishi131TP	False
(12.|bc|TP.+31|.2M)+	123gaoxiao`meishibcgaoxiao`meishiTP131gaoxiao`meishiTP1313131gaoxiao`meishi123bcTP12131	True
(12.|bc|TP.+31|.2M)+	TP31gaoxiao`meishi12bcgaoxiao`meishiTP1312M	False
Ln(12|bc)+to	Ln12togaoxiao`meishiLn12bc12to	True
Ln(12|bc)+to	Lntogaoxiao`meishiLn123togaoxiao`meishiLnbcdto	False
Ln(.1c|b.c|XY.)+to	Lnbcctogaoxiao`meishiLnb1cb2cXYcbbcto	True
Ln(.1c|b.c|XY.)+to	Lntogaoxiao`meishiLn1ctogaoxiao`meishiLnbctogaoxiao`meishiLn123togaoxiao`meishiLnXYto	False
(12|bc)?	12gaoxiao`meishibc	True
(12|bc)?	1bgaoxiao`meishi2gGgaoxiao`meishibc12bc	False
(12|bc|TP131|MM)?	12gaoxiao`meishibcgaoxiao`meishiTP131gaoxiao`meishiMM	True
(12|bc|TP131|MM)?	MM12bcTP131bc	False
(12|bc|TP131|MM)?	123gaoxiao`meishifrgaoxiao`meishiniceMMgaoxiao`meishi131TP	False
(12.|bc|TP.+31|.2M)?	123gaoxiao`meishibcgaoxiao`meishiTP131gaoxiao`meishiTP1313131	True
(12.|bc|TP.+31|.2M)?	TP31gaoxiao`meishi12bcgaoxiao`meishiTP1312Mgaoxiao`meishi123bcTP12131	False
Ln(12|bc)?to	Lntogaoxiao`meishiLn12to	True
Ln(12|bc)?to	Ln123togaoxiao`meishiLnbdtogaoxiao`meishiLn12bc12to	False
Ln(.1c|b.c|XY.)?to	Lntogaoxiao`meishiLnbcctogaoxiao`meishiLnXYato	True
Ln(.1c|b.c|XY.)?to	Ln1ctogaoxiao`meishiLnbctogaoxiao`meishiLnXYtogaoxiao`meishiLnb1cb2cXYcbbcto	False
12*3+a?end	13endgaoxiao`meishi13aendgaoxiao`meishi12233end	True
12*3+a?end	123aaendgaoxiao`meishi12aend	False
(567)*|(abc)+|(XY)?	567gaoxiao`meishi567567gaoxiao`meishiabcabcgaoxiao`meishiXY	True
(567)*|(abc)+|(XY)?	5678gaoxiao`meishiabgaoxiao`meishiXYXY	False
A(45)*b+|a?(xy)+z	Abgaoxiao`meishixyzgaoxiao`meishiaxyxyzgaoxiao`meishiA4545b	True
A(45)*b+|a?(xy)+z	A4545gaoxiao`meishiaz	False
10*[12]|ab+[bc]?	11gaoxiao`meishi12gaoxiao`meishiabcgaoxiao`meishi1002gaoxiao`meishiabbbc	True
10*[12]|ab+[bc]?	10gaoxiao`meishiacgaoxiao`meishi12ab	False
10*[^0-9a-z]|ab+[a-z]?	1Agaoxiao`meishi10Agaoxiao`meishiabagaoxiao`meishiabbbzgaoxiao`meishiabbbbbgaoxiao`meishiabbc	True
10*[^0-9a-z]|ab+[a-z]?	10gaoxiao`meishi1001gaoxiao`meishi1000agaoxiao`meishi1000zgaoxiao`meishi1000cgaoxiao`meishiabA	False
(1.|2.)*|f([123]+X)+Z?	12gaoxiao`meishi1221gaoxiao`meishif1XZgaoxiao`meishif1Xgaoxiao`meishif11123X32221XZ	True
(1.|2.)*|f([123]+X)+Z?	121gaoxiao`meishi212gaoxiao`meishifXZgaoxiao`meishif5Xgaoxiao`meishif111Z	False
((((((1|0)*)*)*)*)*)*	111111100000001	True
[01]*1[01]|[01]*1[01][01]	0111010gaoxiao`meishi1110111gaoxiao`meishi100gaoxiao`meishi111gaoxiao`meishi	True
[01]*1[01]|[01]*1[01][01]	1011000gaoxiao`meishi101010000	False
