(12|bc|TP131|MM)	12`bc`TP131`MM	True
(12|bc|TP131|MM)	123`fr`nice	False
(12.|bc|TP.+31|.2M)	bc`TP131`TP1313131`12M	True
(12.|bc|TP.+31|.2M)	TP31`12bc`2M`fr`nice	False
Ln(12|bc|XYZ)to	Ln12to`Lnbcto`LnXYZto	True
Ln(12|bc|XYZ)to	Ln123to`Lnbcdto`LnXYto	False
Ln(.1c|b.c|XY.)to	Lnbccto`Lnb1cto`Ln01cto`LnXYcto	True
Ln(.1c|b.c|XY.)to	Ln1cto`Lnbcto`Ln123to`Lnto`LnXYto	False
(12|bc)*	12`bc`bc12bc	True
(12|bc)*	1b`2gG`bc21bc	False
(12|bc|TP131|MM)*	12`bc`TP131`MM	True
(12|bc|TP131|MM)*	MM12bcTP131bc	True
(12|bc|TP131|MM)*	123`fr`niceMM`131TP	False
(12.|bc|TP.+31|.2M)*	123`bc`TP131`TP1313131`123bcTP12131	True
(12.|bc|TP.+31|.2M)*	TP31`12bc`TP1312M	False
Ln(12|bc)*to	Lnto`Ln12to`Ln12bc12to	True
Ln(12|bc)*to	Ln123to`Lnbcdto	False
Ln(.1c|b.c|XY.)*to	Lnto`Lnbccto`Lnb1cb2cXYcbbcto	True
Ln(.1c|b.c|XY.)*to	Ln1cto`Lnbcto`Ln123to`LnXYto	False
(12|bc)+	12`bc`bc12bc	True
(12|bc)+	1b`2gG`bc21bc	False
(12|bc|TP131|MM)+	12`bc`TP131`MM	True
(12|bc|TP131|MM)+	MM12bcTP131bc	True
(12|bc|TP131|MM)+	123`fr`niceMM`131TP	False
(12.|bc|TP.+31|.2M)+	123`bc`TP131`TP1313131`123bcTP12131	True
(12.|bc|TP.+31|.2M)+	TP31`12bc`TP1312M	False
Ln(12|bc)+to	Ln12to`Ln12bc12to	True
Ln(12|bc)+to	Lnto`Ln123to`Lnbcdto	False
Ln(.1c|b.c|XY.)+to	Lnbccto`Lnb1cb2cXYcbbcto	True
Ln(.1c|b.c|XY.)+to	Lnto`Ln1cto`Lnbcto`Ln123to`LnXYto	False
(12|bc)?	12`bc	True
(12|bc)?	1b`2gG`bc12bc	False
(12|bc|TP131|MM)?	12`bc`TP131`MM	True
(12|bc|TP131|MM)?	MM12bcTP131bc	False
(12|bc|TP131|MM)?	123`fr`niceMM`131TP	False
(12.|bc|TP.+31|.2M)?	123`bc`TP131`TP1313131	True
(12.|bc|TP.+31|.2M)?	TP31`12bc`TP1312M`123bcTP12131	False
Ln(12|bc)?to	Lnto`Ln12to	True
Ln(12|bc)?to	Ln123to`Lnbdto`Ln12bc12to	False
Ln(.1c|b.c|XY.)?to	Lnto`Lnbccto`LnXYato	True
Ln(.1c|b.c|XY.)?to	Ln1cto`Lnbcto`LnXYto`Lnb1cb2cXYcbbcto	False
12*3+a?end	13end`13aend`12233end	True
12*3+a?end	123aaend`12aend	False
(567)*|(abc)+|(XY)?	567`567567`abcabc`XY	True
(567)*|(abc)+|(XY)?	5678`ab`XYXY	False
A(45)*b+|a?(xy)+z	Ab`xyz`axyxyz`A4545b	True
A(45)*b+|a?(xy)+z	A4545`az	False
10*[12]|ab+[bc]?	11`12`abc`1002`abbbc	True
10*[12]|ab+[bc]?	10`ac`12ab	False
10*[^0-9a-z]|ab+[a-z]?	1A`10A`aba`abbbz`abbbbb`abbc	True
10*[^0-9a-z]|ab+[a-z]?	10`1001`1000a`1000z`1000c`abA	False
(1.|2.)*|f([123]+X)+Z?	12`1221`f1XZ`f1X`f11123X32221XZ	True
(1.|2.)*|f([123]+X)+Z?	121`212`fXZ`f5X`f111Z	False
((((((1|0)*)*)*)*)*)*	111111100000001	True
[01]*1[01]|[01]*1[01][01]	0111010`1110111`100`111`	True
[01]*1[01]|[01]*1[01][01]	1011000`101010000	False
